N,numThreads,tempo
1000, 1, 0.117752
1000, 1, 0.102612
1000, 1, 0.095732
1000, 1, 0.084182
1000, 1, 0.081142
1000, 1, 0.079441
1000, 1, 0.074571
1000, 1, 0.072541
1000, 1, 0.081421
1000, 1, 0.076712
1000, 2, 0.090001
1000, 2, 0.094502
1000, 2, 0.104542
1000, 2, 0.104192
1000, 2, 0.100661
1000, 2, 0.107452
1000, 2, 0.089292
1000, 2, 0.099382
1000, 2, 0.093311
1000, 2, 0.106682
1000, 3, 0.090321
1000, 3, 0.100412
1000, 3, 0.103402
1000, 3, 0.084742
1000, 3, 0.106382
1000, 3, 0.093332
1000, 3, 0.089472
1000, 3, 0.099962
1000, 3, 0.090492
1000, 3, 0.091031
1000, 4, 0.107442
1000, 4, 0.099692
1000, 4, 0.123572
1000, 4, 0.106562
1000, 4, 0.114222
1000, 4, 0.098261
1000, 4, 0.117902
1000, 4, 0.129322
1000, 4, 0.117893
1000, 4, 0.107462
1000, 5, 0.115282
1000, 5, 0.103482
1000, 5, 0.131063
1000, 5, 0.097012
1000, 5, 0.115732
1000, 5, 0.124112
1000, 5, 0.111512
1000, 5, 0.107922
1000, 5, 0.107392
1000, 5, 0.110322
1000, 6, 0.111602
1000, 6, 0.124402
1000, 6, 0.129112
1000, 6, 0.140113
1000, 6, 0.118082
1000, 6, 0.120782
1000, 6, 0.130953
1000, 6, 0.131703
1000, 6, 0.128702
1000, 6, 0.124753
1000, 7, 0.137182
1000, 7, 0.130662
1000, 7, 0.130723
1000, 7, 0.135272
1000, 7, 0.123982
1000, 7, 0.134332
1000, 7, 0.100752
1000, 7, 0.137773
1000, 7, 0.150123
1000, 7, 0.130493
1000, 8, 0.150663
1000, 8, 0.148533
1000, 8, 0.146873
1000, 8, 0.140343
1000, 8, 0.140163
1000, 8, 0.128803
1000, 8, 0.127202
1000, 8, 0.166633
1000, 8, 0.162893
1000, 8, 0.145033
1000, 9, 0.149323
1000, 9, 0.144222
1000, 9, 0.171923
1000, 9, 0.155793
1000, 9, 0.136592
1000, 9, 0.143342
1000, 9, 0.168913
1000, 9, 0.163333
1000, 9, 0.146453
1000, 9, 0.146942
1000, 10, 0.161113
1000, 10, 0.167433
1000, 10, 0.149622
1000, 10, 0.160773
1000, 10, 0.149593
1000, 10, 0.168203
1000, 10, 0.162123
1000, 10, 0.167143
1000, 10, 0.151283
1000, 10, 0.148163
1000000, 1, 63.898240
1000000, 1, 65.155113
1000000, 1, 63.635484
1000000, 1, 64.498181
1000000, 1, 64.407019
1000000, 1, 64.023081
1000000, 1, 64.646070
1000000, 1, 66.180749
1000000, 1, 64.557789
1000000, 1, 65.061908
1000000, 2, 39.298726
1000000, 2, 39.330966
1000000, 2, 39.877526
1000000, 2, 39.712143
1000000, 2, 38.588062
1000000, 2, 38.438589
1000000, 2, 38.302157
1000000, 2, 38.709965
1000000, 2, 39.010230
1000000, 2, 38.996780
1000000, 3, 39.978839
1000000, 3, 39.139903
1000000, 3, 39.116732
1000000, 3, 39.584911
1000000, 3, 39.571571
1000000, 3, 38.248496
1000000, 3, 38.605502
1000000, 3, 39.857226
1000000, 3, 38.131811
1000000, 3, 40.139739
1000000, 4, 43.676685
1000000, 4, 44.196015
1000000, 4, 43.138035
1000000, 4, 42.423561
1000000, 4, 42.690277
1000000, 4, 43.550743
1000000, 4, 44.338887
1000000, 4, 43.813297
1000000, 4, 43.739436
1000000, 4, 43.074434
1000000, 5, 49.979573
1000000, 5, 51.694104
1000000, 5, 48.480174
1000000, 5, 49.753309
1000000, 5, 48.862362
1000000, 5, 49.903491
1000000, 5, 50.636575
1000000, 5, 49.169777
1000000, 5, 50.735357
1000000, 5, 49.059153
1000000, 6, 57.258236
1000000, 6, 58.588440
1000000, 6, 57.076092
1000000, 6, 57.671483
1000000, 6, 60.949913
1000000, 6, 57.622782
1000000, 6, 60.011276
1000000, 6, 60.383223
1000000, 6, 56.693575
1000000, 6, 57.813035
1000000, 7, 67.518576
1000000, 7, 65.615440
1000000, 7, 66.270393
1000000, 7, 64.805726
1000000, 7, 66.523407
1000000, 7, 66.978866
1000000, 7, 64.589838
1000000, 7, 64.647039
1000000, 7, 65.522436
1000000, 7, 64.737940
1000000, 8, 70.871225
1000000, 8, 70.878735
1000000, 8, 70.693721
1000000, 8, 70.628670
1000000, 8, 69.150482
1000000, 8, 70.904165
1000000, 8, 70.633120
1000000, 8, 70.821974
1000000, 8, 72.453154
1000000, 8, 69.395837
1000000, 9, 73.318436
1000000, 9, 71.779997
1000000, 9, 70.774029
1000000, 9, 72.824316
1000000, 9, 73.588441
1000000, 9, 73.108852
1000000, 9, 74.395126
1000000, 9, 73.165733
1000000, 9, 74.015808
1000000, 9, 73.699333
1000000, 10, 75.305032
1000000, 10, 74.803703
1000000, 10, 75.212210
1000000, 10, 74.886954
1000000, 10, 71.379845
1000000, 10, 71.472378
1000000, 10, 75.248917
1000000, 10, 70.272876
1000000, 10, 72.267753
1000000, 10, 75.936120
